,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N
I1,Acorns 1,Object,Pixabay,4.68627451,0.954202712,102,2.346534653,1.602720459,101
I2,Acorns 2,Object,Pixabay,4.519607843,0.841149522,102,2.227722772,1.399151086,101
I3,Acorns 3,Object,Pixabay,4.754901961,0.958921367,102,2.306930693,1.514876723,101
I4,Alcohol 1,Object,Pixabay,4.685185185,1.189110625,108,2.865384615,1.695554967,104
I5,Alcohol 2,Object,Pixabay,4.25,1.136686445,108,3,1.700942058,104
I6,Alcohol 3,Object,Pixabay,4.166666667,0.952125021,108,2.346153846,1.384864304,104
I7,Alcohol 4,Object,Pixabay,4.768518519,1.172954425,108,2.865384615,1.649110924,104
I8,Alcohol 5,Object,Pixabay,5.333333333,1.128683921,102,3.554455446,1.602967545,101
I9,Alcohol 6,Object,Pixabay,4.537037037,1.045023149,108,2.644230769,1.630523588,104
I10,Alcohol 7,Object,Pixabay,4.475247525,1.15407157,101,3.126213592,1.654936831,103
I11,Alcohol 8,Object,Pixabay,5.475247525,1.100854753,101,3.796116505,1.762124516,103
I12,Ambulance 1,Object,Pixabay,2.333333333,1.067795353,108,4.163461538,1.806732699,104
I13,Ambulance 2,Object,Pixabay,3.178217822,1.071410655,101,3.411764706,1.725481372,102
I14,Ambulance 3,Object,Pixabay,3.287128713,1.098513848,101,3.611650485,1.783546861,103
I15,Angry face 1,Person,Pixabay,3.382352941,0.954863711,102,3.257425743,1.480901518,101
I16,Angry face 2,Person,Wikipedia,3.078431373,1.040623143,102,3.534653465,1.6826429,101
I17,Angry face 3,Person,Wikipedia,2.5,1.06007659,102,3.663366337,1.790403461,101
I18,Angry face 4,Person,Flickr/Jan Tik,2.490196078,1.141000933,102,3.871287129,1.858296889,101
I19,Angry face 5,Person,Flickr/Bart,2.852941176,1.028283765,102,3.554455446,1.757698766,101
I20,Angry pose 1,Person,Pixabay,2.814814815,1.042535982,108,3.615384615,1.791607687,104
I21,Angry pose 2,Person,Flickr/madstreetz,2.805555556,0.999610516,108,3.721153846,1.770616319,104
I22,Animal carcass 1,Animal,Wikipedia,2.722222222,1.236767972,108,3.769230769,2.053794826,104
I23,Animal carcass 2,Animal,Wikipedia,3.254901961,1.39792119,102,4.02970297,1.687930363,101
I24,Animal carcass 3,Animal,Wikipedia,2.75,1.361177335,108,4.423076923,2.027444265,104
I25,Animal carcass 4,Animal,Wikipedia,3.794117647,1.366778646,102,4.198019802,1.618763738,101
I26,Animal carcass 5,Animal,Wikipedia,1.617647059,1.044022283,102,4.475247525,2.274177035,101
I27,Animal carcass 6,Animal,Wikipedia,2.398148148,1.47210711,108,4.721153846,2.174238984,104
I28,Archery 1,Person,Pixabay,4.294117647,1.278831732,102,3.752475248,1.545353944,101
I29,Archery 2,Person,Pixabay,4.81372549,0.972191483,102,3.455445545,1.628034106,101
I30,Astronaut 1,Person,Pixabay,5.712962963,1.085597522,108,4.567307692,1.772302671,104
I31,Astronaut 2,Person,Pixabay,5.137254902,1.152175864,102,3.673267327,1.594420966,101
I32,Baby 1,Person,Pixabay,6.175925926,0.993706398,108,4.086538462,1.768717252,104
I33,Baby 2,Person,Pixabay,6.027777778,1.054215688,108,3.663461538,1.83604988,104
I34,Baby 3,Person,Pixabay,5.841584158,1.163895814,101,4.116504854,1.745026383,103
I35,Baby 4,Person,Pixabay,5.920792079,1.23841163,101,4.27184466,1.858705932,103
I36,Baby 5,Person,Pixabay,6.138888889,1.063043887,108,3.721153846,1.829938355,104
I37,Baby 6,Person,Pixabay,6.046296296,0.989517576,108,3.653846154,1.766842561,104
I38,Baby 7,Person,Pixabay,2.970588235,1.308433288,102,4.247524752,1.669766095,101
I39,Baby 8,Person,Pixabay,6.101851852,1.118575653,108,3.923076923,1.852273899,104
I40,Baby 9,Person,Pixabay,5.852941176,1.22188832,102,3.643564356,1.706365485,101
I41,Baby 10,Person,Pixabay,5.421568627,1.338214227,102,3.891089109,1.702357131,101
I42,Band 1,Person,Pixabay,4.871287129,1.110525698,101,3.009708738,1.417641964,103
I43,Band 2,Person,Pixabay,5.156862745,1.114664608,102,3.841584158,1.54746679,101
I44,Bar 1,Scenery,Pixabay,4.901960784,1.18162335,102,3.455445545,1.603276348,101
I45,Bar 2,Scenery,Pixabay,4.752475248,1.023776739,101,3.786407767,1.741367985,103
I46,Bar 3,Scenery,Pixabay,4.490196078,1.303043642,102,3.257425743,1.610300999,101
I47,Barbeque 1,Person,Pixabay,4.715686275,1.155078764,102,3.079207921,1.419036069,101
I48,Barbeque 2,Person,Pixabay,5.148514851,1.267960083,101,3.126213592,1.582252128,103
I49,Bark 1,Object,Pixabay,4.037037037,0.863874406,108,2.067307692,1.436449392,104
I50,Bark 2,Object,Pixabay,4.259259259,0.857843094,108,2.115384615,1.45687318,104
I51,Bark 3,Object,Pixabay,4.62745098,0.932595321,102,2.089108911,1.435959678,101
I52,Bark 4,Object,Pixabay,4.237623762,0.736865182,101,2.242718447,1.504672588,103
I53,Bark 5,Object,Pixabay,4.198019802,0.616762547,101,2.058252427,1.377873061,103
I54,Bark 6,Object,Pixabay,4.257425743,0.687800339,101,2.203883495,1.381667246,103
I55,Barrels 1,Object,Pixabay,4.207920792,0.571258815,101,2.466019417,1.493879894,103
I56,BDSM 1,Person,Wikipedia,4.333333333,1.484796438,102,4.554455446,1.717412283,101
I57,BDSM 2,Person,Wikipedia,3.930693069,1.570079143,101,4.300970874,1.893409372,103
I58,BDSM 3,Person,Wikipedia,3.953703704,1.63709487,108,4.221153846,1.723378544,104
I59,Beach 1,Scenery,Pixabay,6.366336634,0.845254663,101,4.737864078,1.691739823,103
I60,Beach 2,Scenery,Pixabay,6.323529412,0.935141909,102,4.138613861,1.865635028,101
I61,Beach 3,Scenery,Pixabay,5.514851485,1.08271752,101,3.805825243,1.657178398,103
I62,Beach 4,Scenery,Wikipedia,5.925925926,0.97351568,108,3.625,1.741484134,104
I63,Beach 5,Scenery,Pixabay,5.592592593,1.238306328,108,3.355769231,1.56985108,104
I64,Beach 6,Scenery,Wikipedia,6.055555556,0.965123917,108,3.894230769,1.767661333,104
I65,Beach 7,Scenery,Pixabay,6.068627451,0.967387048,102,4.306930693,1.683701721,101
I66,Beach 8,Scenery,Pixabay,5.852941176,1.008842674,102,3.891089109,1.886271402,101
I67,Bear 1,Animal,Wikipedia,5.148148148,1.142343998,108,3.336538462,1.610707961,104
I68,Bear 2,Animal,Flickr/Tim Williams,4.416666667,1.319338549,108,3.778846154,1.723378544,104
I69,Bear 3,Animal,Pixabay,5.465346535,0.965032191,101,4.32038835,1.449905962,103
I70,Bed 1,Object,Flickr/Hannah,4.01980198,0.916299056,101,2.990291262,1.729190821,103
I71,Bee 1,Animal,Wikipedia,3.648148148,1.480810682,108,3.615384615,1.725354571,104
I72,Biking 1,Person,Pixabay,5.088235294,1.025447897,102,3.574257426,1.538483244,101
I73,Billiards 1,Object,Pixabay,4.519607843,0.817268963,102,2.574257426,1.518858352,101
I74,Bird 1,Animal,Pixabay,5.907407407,1.009645418,108,3.009615385,1.737620247,104
I75,Bird 2,Animal,Pixabay,5.475247525,1.100854753,101,3.699029126,1.545613346,103
I76,Bird 3,Animal,Pixabay,6.037037037,0.956296653,108,3.432692308,1.710983497,104
I77,Bird 4,Animal,Pixabay,5.549019608,1.068240443,102,3.574257426,1.734050372,101
I78,Bird 5,Animal,Pixabay,4.470588235,1.376650278,102,4.445544554,1.545802365,101
I79,Birthday 1,Scenery,Pixabay,5.784313725,0.950533472,102,3.455445545,1.63416494,101
I80,Birthday 2,Person,Pixabay,5.326732673,1.175660758,101,3.378640777,1.59113047,103
I81,Birthday 3,Scenery,Pixabay,5.568627451,1.04842932,102,3.425742574,1.518858352,101
I82,Bloody knife 1,Object,Flickr/Maarten Van Damme,1.843137255,1.060030805,102,4.544554455,1.93661949,101
I83,Bloody knife 2,Object,Flickr/Steven Depolo,2.257425743,1.101394256,101,3.902912621,1.992705143,103
I84,Boat 1,Object,Pixabay,4.574074074,1.129086172,108,2.798076923,1.714471855,104
I85,Bored face 1,Person,Flickr,3.648148148,0.777184167,108,2.375,1.47593972,104
I86,Bored pose 1,Person,Pixabay,3.558823529,1.067740553,102,2.920792079,1.446949677,101
I87,Bored pose 2,Person,Pixabay,3.18627451,0.972191483,102,2.742574257,1.540476974,101
I88,Bored pose 3,Person,Wikipedia,3.088235294,0.857153257,102,2.712871287,1.478760519,101
I89,Bored pose 4,Person,Wikipedia,3.12745098,1.02127438,102,3.01980198,1.442083202,101
I90,Bored pose 5,Person,All-free-download.com,3.801980198,0.927575355,101,3.038834951,1.488006497,103
I91,Bored pose 6,Person,Pixabay,4.558823529,1.207021778,102,3.386138614,1.580950961,101
I92,Bottle 1,Object,Pixabay,4.176470588,0.801134897,102,2.158415842,1.347090741,101
I93,Boxing 1,Person,Pixabay,3.735294118,1.273697903,102,3.891089109,1.666739272,101
I94,Boxing 2,Person,Pixabay,3.696078431,1.051064672,102,4.198019802,1.510098023,101
I95,Bricks 1,Object,Pixabay,4.156862745,0.714005547,102,1.811881188,1.222398227,101
I96,Bridge 1,Scenery,Pixabay,5.891089109,0.99900941,101,3.553398058,1.775255603,103
I97,Bubble 1,Object,Pixabay,4.792079208,1.089190816,101,3.077669903,1.684353139,103
I98,Bubble 2,Object,Pixabay,5,1.039230485,101,3.038834951,1.742897802,103
I99,Building 1,Scenery,Pixabay,5.037037037,1.484662559,108,3.201923077,1.748118588,104
I100,Building 2,Scenery,Pixabay,4.796296296,1.13367535,108,3.173076923,1.829861832,104
I101,Bungee jumping 1,Person,Wikipedia,4.203703704,1.358663852,108,4.557692308,1.974728312,104
I102,Bungee jumping 2,Person,Wikipedia,4.764705882,1.178826994,102,4.653465347,1.717181665,101
I103,Bungee jumping 3,Person,Flickr/Eric Chan,5.111111111,1.362606994,108,4.355769231,1.683260066,104
I104,Camping 1,Person,Pixabay,5.603960396,0.980603976,101,3.252427184,1.607082649,103
I105,Camping 2,Person,Pixabay,4.96039604,1.156899236,101,3.184466019,1.64345149,103
I106,Camping 3,Person,Pixabay,5.018518519,1.032024428,108,2.980769231,1.557822536,104
I107,Camping 4,Person,Pixabay,5.656862745,1.130102055,102,3.227722772,1.630221998,101
I108,Camping 6,Person,Pixabay,3.881188119,1.002867177,101,3.13592233,1.435191753,103
I109,Camping 7,Person,Pixabay,5.215686275,0.874585627,102,2.98019802,1.392696651,101
I110,Camping 8,Person,Pixabay,3.558823529,1.3466021,102,3.732673267,1.605559648,101
I111,Camping 9,Person,Pixabay,3.990196078,1.254655474,102,3.495049505,1.706597565,101
I112,Camping 10,Scenery,Pixabay,4.941176471,1.115361056,102,3.772277228,1.617907217,101
I113,Candle 1,Object,Pixabay,5.049019608,1.018418994,102,3.306930693,1.695538701,101
I114,Car 1,Object,Pixabay,5.225490196,1.28129624,102,4.326732673,1.882067538,101
I115,Car 2,Object,Pixabay,3.920792079,1.092549022,101,2.873786408,1.569810852,103
I116,Car accident 1,Object,Pixabay,2.147058824,0.927010086,102,4.099009901,1.734963691,101
I117,Car accident 2,Object,Pixabay,1.972222222,1.008916633,108,4.086538462,1.8386919,104
I118,Car accident 3,Object,Pixabay,2.676470588,1.252022243,102,4.495049505,1.603893777,101
I119,Car accident 4,Object,Pixabay,2.027777778,0.941844813,108,3.961538462,1.811093522,104
I120,Car crash 1,Scenery,Wikipedia,1.852941176,0.762967874,102,4.554455446,1.757698766,101
I121,Car crash 2,Scenery,Wikipedia,1.99009901,0.830602787,101,4.213592233,1.876848033,103
I122,Car crash 3,Scenery,Wikipedia,2.029411765,0.82601132,102,4.663366337,1.722075653,101
I123,Car race 1,Scenery,Wikipedia,4.388888889,1.166777921,108,3.211538462,1.83108582,104
I124,Car race 2,Scenery,Wikipedia,4.366336634,1.065108185,101,3.59223301,1.81192614,103
I125,Car race 3,Scenery,Wikipedia,4.396039604,1.077768138,101,3.689320388,1.798851083,103
I126,Car race 4,Scenery,Wikipedia,4.147058824,1.137976829,102,3.475247525,1.729705521,101
